Linux 6.8.0-85-generic (david-Lenovo-ThinkBook-14-IIL) 	02/11/25 	_x86_64_	(4 CPU)

01:03:16        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:03:17        all      6,80      0,00      1,76      0,00      0,00     91,44
01:03:18        all      8,95      0,00      3,58      0,00      0,00     87,47
01:03:19        all      4,60      0,00      2,81      0,00      0,00     92,58
01:03:20        all      1,76      0,00      1,51      0,25      0,00     96,47
01:03:21        all      1,51      0,00      1,01      0,00      0,00     97,48
01:03:22        all      1,26      0,00      0,50      0,00      0,00     98,24
01:03:23        all      6,08      0,00      2,53      0,00      0,00     91,39
01:03:24        all      0,75      0,00      0,50      0,00      0,00     98,75
01:03:25        all      1,01      0,00      1,01      0,76      0,00     97,22
01:03:26        all      0,76      0,00      0,25      0,00      0,00     98,99
01:03:27        all      1,01      0,00      0,50      0,00      0,00     98,49
01:03:28        all      5,32      0,00      2,53      0,00      0,00     92,15
01:03:29        all      1,01      0,00      1,01      0,00      0,00     97,97
01:03:30        all      0,51      0,00      0,51      0,51      0,00     98,48
01:03:31        all      1,25      0,00      0,25      0,00      0,00     98,50
01:03:32        all      0,76      0,00      0,50      0,00      0,00     98,74
01:03:33        all      1,76      0,00      1,01      0,00      0,00     97,23
01:03:34        all      0,76      0,00      0,51      0,00      0,00     98,74
01:03:35        all      1,50      0,00      0,25      0,25      0,00     98,00
01:03:36        all      0,00      0,00      0,51      0,00      0,00     99,49
01:03:37        all      1,26      0,00      0,50      0,25      0,00     97,98
01:03:38        all      1,01      0,00      0,25      0,00      0,00     98,74
01:03:39        all      0,50      0,00      0,50      0,00      0,00     98,99
01:03:40        all      0,76      0,00      0,51      0,00      0,00     98,73
01:03:41        all      6,73      0,00      3,74      1,25      0,00     88,28
01:03:42        all      0,51      0,00      0,25      0,25      0,00     98,98
01:03:43        all      1,01      0,00      0,25      0,00      0,00     98,74
01:03:44        all      1,00      0,00      0,75      0,00      0,00     98,25
01:03:45        all      1,27      0,00      0,76      0,00      0,00     97,97
01:03:46        all      1,01      0,00      0,50      0,25      0,00     98,24
01:03:47        all      1,01      0,00      0,25      0,00      0,00     98,74
01:03:48        all      0,50      0,00      0,50      0,00      0,00     98,99
01:03:49        all      4,04      0,00      0,76      0,00      0,00     95,20
01:03:50        all      1,25      0,00      0,75      0,00      0,00     97,99
01:03:51        all      1,00      0,00      0,75      0,25      0,00     97,99
01:03:52        all      1,01      0,00      0,25      0,00      0,00     98,73
01:03:53        all      9,30      0,00      1,76      0,00      0,00     88,94
01:03:54        all      1,01      0,00      0,25      0,25      0,00     98,48
01:03:55        all      1,26      0,00      0,50      0,00      0,00     98,24
01:03:56        all      1,26      0,00      0,75      0,00      0,00     97,99
01:03:57        all      2,28      0,00      0,51      0,00      0,00     97,22
01:03:58        all      1,01      0,00      0,76      0,76      0,00     97,48
01:03:59        all      1,01      0,00      0,25      0,00      0,00     98,74
01:04:00        all      0,76      0,00      0,25      0,00      0,00     98,99
01:04:01        all      1,26      0,00      0,76      0,00      0,00     97,98
01:04:02        all      0,76      0,00      0,50      0,00      0,00     98,74
01:04:03        all      0,50      0,00      0,00      1,01      0,00     98,49
01:04:04        all      1,01      0,00      1,01      0,00      0,00     97,98
01:04:05        all      1,01      0,00      1,01      0,00      0,00     97,99
